name,rating,review_count,address,price_level,business_status,neighborhood
Juniper Grill - Strip District,4.3,6,"2350 Railroad St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Cinderlands Warehouse,4.3,560,"2601 Smallman St, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Strip District
Helltown Brewing - Strip District,4.5,323,"1700 Penn Ave, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Federal Galley,4.5,2577,"200 Children's Way, Pittsburgh, PA 15212, USA",2.0,OPERATIONAL,Strip District
Little Bangkok in the Strip,4.8,1366,"1906 Penn Ave, Pittsburgh, PA 15222, USA",1.0,OPERATIONAL,Strip District
City Winery Pittsburgh,4.3,962,"1627 Smallman St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Preeti's Pitt LLC,4.2,468,"2701 Penn Ave, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Mola,4.0,27,"1931 Smallman St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Wigle Whiskey Distillery,4.6,571,"2401 Smallman St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
PaPa J's Twin Plaza,4.4,420,"2016 Smallman St, Pittsburgh, PA 15222, USA",3.0,OPERATIONAL,Strip District
Primanti Bros. Restaurant and Bar,4.5,7363,"46 18th St, Pittsburgh, PA 15222, USA",1.0,OPERATIONAL,Strip District
Teocalli,4.8,64,"1831 E Carson St, Pittsburgh, PA 15203, USA",,OPERATIONAL,Strip District
Iron Born Pizza & Pasta | Strip District,4.5,993,"1806 Smallman St, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Strip District
Kelly O's Diner in the Strip,4.6,3006,"100 24th St, Pittsburgh, PA 15222, USA",1.0,OPERATIONAL,Strip District
Sea Monkey,4.0,52,"2305 Smallman St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
The Smash Shack,4.8,133,"401 E Ohio St, Pittsburgh, PA 15212, USA",,OPERATIONAL,Strip District
Shorty's Pins x Pints,4.0,487,"353 North Shore Drive, Pittsburgh, PA 15212, USA",2.0,OPERATIONAL,Strip District
Pamela's Diner,4.7,3235,"60 21st St, Pittsburgh, PA 15222, USA",1.0,OPERATIONAL,Strip District
Mullaney's Harp & Fiddle Irish Pub,4.5,776,"2329 Penn Ave, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Strip District
The Woods House,4.6,302,"4604 Monongahela St, Pittsburgh, PA 15207, USA",2.0,OPERATIONAL,Strip District
Local Provisions,4.5,116,"1111 Freeport Rd, Pittsburgh, PA 15238, USA",,OPERATIONAL,Strip District
Sandbox VR,5.0,5004,"1681 Smallman St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Siempre Algo,4.7,312,"414 E Ohio St, Pittsburgh, PA 15212, USA",,OPERATIONAL,Strip District
Layali Cafe & Restaurant,4.7,385,"2533 Penn Ave, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Strip District
Strip District Terminal,4.6,994,"2101 Smallman St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Aslin Beer Company,4.0,354,"1801 Smallman St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Strip District
Casa del Tequila Fine Eatery,4.9,103,"1731 Murray Ave, Pittsburgh, PA 15217, USA",,OPERATIONAL,Squirrel Hill
Silk Elephant,4.2,638,"1712 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Chengdu Gourmet（Squirrel Hill),4.4,971,"5840 Forward Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Squirrel Hill Cafe,4.5,533,"5802 Forbes Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Taiwanese Bistro Cafe 33,4.5,1414,"1711 Shady Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Sichuan Gourmet,4.0,730,"1900 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Aladdin's Eatery Squirrel Hill,4.5,890,"5878 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Hemlock House,4.6,250,"1126 S Braddock Ave, Swissvale, PA 15218, USA",,OPERATIONAL,Squirrel Hill
Hokkaido Seafood Buffet,3.7,3012,"4612 Browns Hill Rd, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Everyday Noodles,4.6,2213,"5875 Forbes Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Mineo's Pizza House,4.5,2965,"2128 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Amazing Dumplings,4.5,223,"5882 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Upstreet Diner,4.4,272,"1711 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Kiin Lao & Thai Eatery,4.3,432,"5846 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Napoli Pizzeria,4.3,642,"2006 Murray Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Chow's Kitchen,4.6,69,"5829 Forbes Ave, Pittsburgh, PA 15217, USA",,OPERATIONAL,Squirrel Hill
Tasty Noodle 西安面馆,4.6,57,"5824 Forbes Ave Lower Level, Pittsburgh, PA 15217, USA",,OPERATIONAL,Squirrel Hill
Hidden Harbor,4.6,763,"1708 Shady Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Bangkok Balcony,4.2,379,"5846 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Thai Cottage,4.6,728,"1109 S Braddock Ave, Pittsburgh, PA 15218, USA",2.0,OPERATIONAL,Squirrel Hill
Viet Nom Nom,4.5,155,"1715 Murray Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Fresh Garden Kitchen-鑫福源,4.0,64,"2209 Murray Ave, Pittsburgh, PA 15217, USA",,OPERATIONAL,Squirrel Hill
Took Took 98 | Thai Street Food Restaurant,4.3,343,"2018 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Waffallonia,4.6,603,"1709 Murray Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
diners 2+1,4.6,304,"1722 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Thai Tapas And Wine Bar,5.0,1,"1712 Murray Ave, Pittsburgh, PA 15217, USA",,OPERATIONAL,Squirrel Hill
GREEN PEPPER,4.2,467,"2020 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Turkish Kebab House,4.5,1033,"5819 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Thai & Noodle Outlet,4.5,423,"5813 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Ramen Bar,4.5,1906,"5860 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
How Lee | Chinese Restaurant,3.9,701,"5888 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Dobrá Tea Pittsburgh,4.7,1104,"1937 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
The Mediterranean Grill,4.6,315,"5835 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
"Pastoli's Pizza, Pasta & Paisans",4.4,534,"1900 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Stuntpig,4.9,173,"1707 Murray Ave, Pittsburgh, PA 15217, USA",,OPERATIONAL,Squirrel Hill
New Dumpling & Sushi House,4.2,343,"2138 Murray Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Yukiyama | Japanese Restaurant,4.2,190,"2121 Murray Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Tan Lac Vien Vietnamese Bistro,4.4,499,"2114 Murray Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
T-Swirl Crepe,4.6,379,"1714 Murray Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Aiello's Pizza Squirrel Hill,4.4,1434,"2112 Murray Ave # 1, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Yue Bai Wei 悅百味,4.1,171,"5874 Forbes Ave, Pittsburgh, PA 15217, USA",2.0,OPERATIONAL,Squirrel Hill
Bosphorus Mediterranean Cuisine,4.6,983,"7600 Forbes Ave, Pittsburgh, PA 15221, USA",2.0,OPERATIONAL,Squirrel Hill
Frick Park Tavern,4.5,226,"1100 S Braddock Ave, Swissvale, PA 15218, USA",,OPERATIONAL,Squirrel Hill
98K Halal Fried Chicken & Sandwiches,4.5,296,"5867 Forbes Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Maya Sushi,4.6,230,"2103 Murray Ave, Pittsburgh, PA 15217, USA",1.0,OPERATIONAL,Squirrel Hill
Cafe Du Jour,4.8,260,"1107 E Carson St, Pittsburgh, PA 15203, USA",,OPERATIONAL,South Side
Carmella's Plates & Pints,4.6,1041,"1908 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Fat Head's Saloon,4.5,3151,"1805 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
The Urban Tap - Southside,4.4,1157,"1209 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Cold Friends Kitchen,4.9,123,"2120 Jane St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Streets,4.6,470,"1120 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Sushi Tomo South Side,4.8,57,"2122 E Carson St, Pittsburgh, PA 15203, USA",,OPERATIONAL,South Side
HISTORIC BEDFORD HOUSE PGH,4.9,54,"51 S 12th St, Pittsburgh, PA 15203, USA",,OPERATIONAL,South Side
Twelve Whiskey Barbecue,4.1,642,"1222 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Dish Osteria Bar,4.9,652,"128 S 17th St, Pittsburgh, PA 15203, USA",3.0,OPERATIONAL,South Side
La Palapa,4.5,1228,"2224 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
The Factory South Shore,4.1,138,"300 W Station Square Dr, Pittsburgh, PA 15219, USA",,OPERATIONAL,South Side
Thai Me Up,4.5,915,"118 S 23rd St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
La Bodega,4.2,309,"1502 E Carson St #189, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Piper's Pub,4.7,1749,"1828 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Birmingham Bridge Tavern,4.6,761,"2901 Sarah St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Dive Bar & Grille (South Side),4.4,772,"2132 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Steel Mill Saloon,4.4,650,"1225 Grandview Ave, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,South Side
Over The Bar Bicycle Cafe,4.5,982,"2518 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
LA Dolce Vita,4.4,43,"2104 PA-837, Pittsburgh, PA 15203, USA",,OPERATIONAL,South Side
Doce Taqueria,4.5,924,"1302 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Carson Street Deli & Craft Beer Bar,4.6,577,"1507 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Tupelo Honey Southern Kitchen & Bar,4.2,1525,"111 W Station Square Dr, Pittsburgh, PA 15219, USA",2.0,OPERATIONAL,South Side
The Speckled Egg SSW,4.3,215,"428 S 27th St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
The Zenith,4.7,462,"86 S 26th St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Mario's South Side Saloon,4.1,960,"1514 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Cambod-Ican Kitchen Restaurant,4.6,815,"1701 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Kassab's Lebanese Cuisine,4.6,461,"1207 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Slice on Broadway-Southside Works,4.5,161,"2717 Sidney St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Dancing Crab Thai Noodle House,4.4,514,"2126 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
"Waffles, INCaffeinated, South Side",4.2,1443,"2517 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Cucina Vitale,4.6,478,"661 Andersen Dr #100, Pittsburgh, PA 15220, USA",2.0,OPERATIONAL,South Side
Smokin' Joe's Saloon,4.4,714,"2001 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Capo's,4.1,503,"1401 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Ruggers Pub,4.7,658,"40 S 22nd St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Benny Fierro's,4.7,1236,"1906 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Primanti Bros. Restaurant and Bar,4.2,1388,"1832 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Cilantro & Ajo South Side,4.6,920,"901 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Kura Revolving Sushi Bar,4.3,1184,"415 Cinema Dr, Pittsburgh, PA 15203, USA",,OPERATIONAL,South Side
Layne's Chicken Fingers - Pittsburgh,4.7,200,"1210 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
SouthSide Works,4.3,3022,"424 S 27th St Suite 300, Pittsburgh, PA 15203, USA",,OPERATIONAL,South Side
South Side BBQ Company,4.0,407,"75 S 17th St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Mike & Tony's Gyros,4.5,1319,"1414 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Moodz Co.,4.4,221,"2210 E Carson St, Pittsburgh, PA 15203, USA",2.0,OPERATIONAL,South Side
Tasty Taquitos,4.2,92,"437 S 27th St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Lins Asian Fusion,4.4,590,"2018 E Carson St, Pittsburgh, PA 15203, USA",1.0,OPERATIONAL,South Side
Wings Over Pittsburgh - Carson St,4.7,340,"2002 E Carson St, Pittsburgh, PA 15203, USA",,OPERATIONAL,South Side
Shiloh Gastro,4.4,1300,"123 Shiloh St, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
Coughlin's Law Kitchen and Ale House,4.4,1526,"10 Virginia Ave, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
Shiloh Plate & Pour,4.8,116,"201 Shiloh St, Pittsburgh, PA 15211, USA",,OPERATIONAL,Mount Washington
Bigham Tavern,4.5,1983,"321 Bigham St, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
The Summit,4.7,599,"200 Shiloh St, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
Le Mont Restaurant,4.3,1970,"1114 Grandview Ave, Pittsburgh, PA 15211, USA",4.0,OPERATIONAL,Mount Washington
Monterey Bay Fish Grotto,4.7,2839,"1411 Grandview Ave, Pittsburgh, PA 15211, USA",4.0,OPERATIONAL,Mount Washington
Gordo's Tacos & Tequila,4.4,521,"131 Shiloh St, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
The Grandview Saloon,3.9,1030,"1212 Grandview Ave, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
La Tavola Italiana Restaurant,4.5,515,"1 Boggs Ave, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
Alla Famiglia,4.7,1449,"804 E Warrington Ave, Pittsburgh, PA 15210, USA",4.0,OPERATIONAL,Mount Washington
Grand Concourse,4.2,3206,"100 W Station Square Dr, Pittsburgh, PA 15219, USA",3.0,OPERATIONAL,Mount Washington
Cafe Nikos,4.6,224,"212 Shiloh St, Pittsburgh, PA 15211, USA",1.0,OPERATIONAL,Mount Washington
OTARU Japanese Restaurant Pittsburgh,4.7,466,"1200 Grandview Ave, Pittsburgh, PA 15211, USA",,OPERATIONAL,Mount Washington
The Foundry | Table & Tap,4.1,922,"381 North Shore Drive, Pittsburgh, PA 15212, USA",2.0,OPERATIONAL,Mount Washington
J & J's Family Restaurant & Catering,4.6,853,"300 Shiloh St, Pittsburgh, PA 15211, USA",1.0,OPERATIONAL,Mount Washington
The Getaway Bar & Grill,4.3,537,"3049 Sussex Ave, Pittsburgh, PA 15226, USA",2.0,OPERATIONAL,Mount Washington
Willow Station Restaurant and Bar,4.7,311,"3841 Willow Ave, Pittsburgh, PA 15234, USA",2.0,OPERATIONAL,Mount Washington
Bistro 19,4.6,515,"711 Washington Rd, Pittsburgh, PA 15228, USA",2.0,OPERATIONAL,Mount Washington
Burgatory,4.5,4316,"342 North Shore Drive, Pittsburgh, PA 15212, USA",2.0,OPERATIONAL,Mount Washington
Eggs & Moore,4.7,359,"221 Shiloh St, Pittsburgh, PA 15211, USA",1.0,OPERATIONAL,Mount Washington
The Alcove,4.4,350,"875 Greentree Rd Building 7 suite 110, Pittsburgh, PA 15220, USA",1.0,OPERATIONAL,Mount Washington
KAVSAR RESTAURANT,4.4,786,"16 Southern Ave, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
Tom's Watch Bar - Pittsburgh,4.9,3486,"261 North Shore Drive Suite 3, Pittsburgh, PA 15212, USA",,OPERATIONAL,Mount Washington
Sesame Garden,4.2,381,"202 Shiloh St, Pittsburgh, PA 15211, USA",2.0,OPERATIONAL,Mount Washington
Melting Pot,4.5,2251,"242 W Station Square Dr, Pittsburgh, PA 15219, USA",3.0,OPERATIONAL,Mount Washington
Brick and Barrel Cross Keys,4.5,555,"599 Dorseyville Rd, Pittsburgh, PA 15238, USA",2.0,OPERATIONAL,Mount Washington
Southern Tier Brewery Pittsburgh,4.6,2636,"316 North Shore Drive, Pittsburgh, PA 15212, USA",2.0,OPERATIONAL,Mount Washington
